Date,Open,High,Low,Close,AdjClose,Volume,SMA_20,Upper_Band,Lower_Band,MACD,MACD_Signal,RSI,Risk_Level
2020-06-16,425.7600098,437.9599915,425.1799927,436.1300049,436.1300049,5507900,426.7260025,447.7663009,405.6857041,1.309082768,1.413153057,55.97470734,Medium
2020-06-17,441.8200073,450.4599915,439.2200012,447.769989,447.769989,6529600,426.5625015,446.8444151,406.280588,2.883107217,1.707143889,60.97295354,High
2020-06-18,448.730011,452.7600098,442.7999878,449.8699951,449.8699951,4277600,426.6725006,447.4541285,405.8908727,4.250983187,2.215911749,61.81523714,High
2020-06-19,449.1199951,453.9700012,445.6000061,453.7200012,453.7200012,5934500,427.5460007,451.2813398,403.8106616,5.581359626,2.889001324,63.37581752,High
2020-06-22,455.0100098,468.5899963,454.2099915,468.0400085,468.0400085,6272100,429.4820007,459.3506454,399.6133561,7.702408877,3.851682835,68.52795571,High
2020-06-23,466.5,474.0100098,464.5,466.2600098,466.2600098,5948400,432.0565018,465.2743259,398.8386777,9.134428657,4.908231999,67.26133612,High
2020-06-24,468.5400085,472.3599854,454,457.8500061,457.8500061,4826200,433.9545013,468.5544607,399.354542,9.48140194,5.822865987,61.47944964,High
2020-06-25,458.8599854,467.0100098,454,465.9100037,465.9100037,4134500,436.5780014,472.5579697,400.5980331,10.28815971,6.715924731,64.61853609,High
2020-06-26,466.3900146,468.0299988,442.2399902,443.3999939,443.3999939,6804700,437.7615005,472.956663,402.5663381,9.007320603,7.174203906,51.8984362,Medium
2020-06-29,445.230011,447.6700134,432.1400146,447.2399902,447.2399902,4844000,438.8274994,473.8033296,403.8516692,8.207491147,7.380861354,53.57725579,Medium
2020-06-30,450.019989,457.5899963,447,455.0400085,455.0400085,4198500,440.2139999,475.4648641,404.9631358,8.109535158,7.526596115,56.87011122,Medium
2020-07-01,454,488.230011,454,485.6400146,485.6400146,9705900,443.3975006,482.9487919,403.8462093,10.38139879,8.097556649,66.81489994,High
